_id,createdAt,name,pollingStation,updatedAt
6028aa35be48b504bc4f6116,2021-02-14T04:42:29.324Z,A-B,6028a808be48b504bc4f610e,2021-02-14T04:42:29.324Z
6028aa41be48b504bc4f6117,2021-02-14T04:42:41.336Z,C-D,6028a808be48b504bc4f610e,2021-02-14T04:42:41.336Z
6028aa4cbe48b504bc4f6118,2021-02-14T04:42:52.659Z,E-G,6028a808be48b504bc4f610e,2021-02-14T04:42:52.659Z
6028aa54be48b504bc4f6119,2021-02-14T04:43:00.814Z,H-K,6028a808be48b504bc4f610e,2021-02-14T04:43:00.814Z
6028aa5bbe48b504bc4f611a,2021-02-14T04:43:07.255Z,L-M,6028a808be48b504bc4f610e,2021-02-14T04:43:07.255Z
6028aa66be48b504bc4f611b,2021-02-14T04:43:18.264Z,N-R,6028a808be48b504bc4f610e,2021-02-14T04:43:18.264Z
6028aa72be48b504bc4f611c,2021-02-14T04:43:30.217Z,S-Z,6028a808be48b504bc4f610e,2021-02-14T04:43:30.217Z
6028aae5be48b504bc4f611d,2021-02-14T04:45:25.583Z,A-B,6028a818be48b504bc4f610f,2021-02-14T04:45:25.583Z
6028ab02be48b504bc4f611e,2021-02-14T04:45:54.713Z,C-D,6028a818be48b504bc4f610f,2021-02-14T04:45:54.713Z
6028ab08be48b504bc4f611f,2021-02-14T04:46:00.967Z,E-F,6028a818be48b504bc4f610f,2021-02-14T04:46:00.967Z
6028ab13be48b504bc4f6120,2021-02-14T04:46:11.587Z,G-JN,6028a818be48b504bc4f610f,2021-02-14T04:46:11.587Z
6028ab1fbe48b504bc4f6121,2021-02-14T04:46:23.627Z,JO-L,6028a818be48b504bc4f610f,2021-02-14T04:46:23.627Z
6028ab26be48b504bc4f6122,2021-02-14T04:46:30.583Z,M-O,6028a818be48b504bc4f610f,2021-02-14T04:46:30.583Z
6028ab2ebe48b504bc4f6123,2021-02-14T04:46:38.894Z,P-R,6028a818be48b504bc4f610f,2021-02-14T04:46:38.894Z
6028ab35be48b504bc4f6124,2021-02-14T04:46:45.145Z,S-Z,6028a818be48b504bc4f610f,2021-02-14T04:46:45.145Z
6028acc1be48b504bc4f6125,2021-02-14T04:53:21.648Z,A-D,6028a83cbe48b504bc4f6110,2021-02-14T04:53:21.648Z
6028accdbe48b504bc4f6126,2021-02-14T04:53:33.445Z,E-I,6028a83cbe48b504bc4f6110,2021-02-14T04:53:33.445Z
6028acd6be48b504bc4f6127,2021-02-14T04:53:42.483Z,J-M,6028a83cbe48b504bc4f6110,2021-02-14T04:53:42.483Z
6028acdfbe48b504bc4f6128,2021-02-14T04:53:51.311Z,N-Z,6028a83cbe48b504bc4f6110,2021-02-14T04:53:51.311Z
6028acf5be48b504bc4f6129,2021-02-14T04:54:13.619Z,A-Z,6028a860be48b504bc4f6111,2021-02-14T04:54:13.619Z
