_id,name,pollingStation,createdAt,updatedAt
5fe7b3ea81e77b3b405c5fb1,J-Z,5fe7991481e77b3b405c5fab,2020-12-26T22:06:34.633Z,2020-12-26T22:28:03.913Z
5fe9037881e77b3b405c5fb3,A-H,5fe7b91181e77b3b405c5fb2,2020-12-27T21:58:16.329Z,2020-12-27T21:58:16.329Z
6028aa35be48b504bc4f6116,A-B,6028a808be48b504bc4f610e,2021-02-14T04:42:29.324Z,2021-02-14T04:42:29.324Z
6028aa41be48b504bc4f6117,C-D,6028a808be48b504bc4f610e,2021-02-14T04:42:41.336Z,2021-02-14T04:42:41.336Z
6028aa4cbe48b504bc4f6118,E-G,6028a808be48b504bc4f610e,2021-02-14T04:42:52.659Z,2021-02-14T04:42:52.659Z
6028aa54be48b504bc4f6119,H-K,6028a808be48b504bc4f610e,2021-02-14T04:43:00.814Z,2021-02-14T04:43:00.814Z
6028aa5bbe48b504bc4f611a,L-M,6028a808be48b504bc4f610e,2021-02-14T04:43:07.255Z,2021-02-14T04:43:07.255Z
6028aa66be48b504bc4f611b,N-R,6028a808be48b504bc4f610e,2021-02-14T04:43:18.264Z,2021-02-14T04:43:18.264Z
6028aa72be48b504bc4f611c,S-Z,6028a808be48b504bc4f610e,2021-02-14T04:43:30.217Z,2021-02-14T04:43:30.217Z
6028aae5be48b504bc4f611d,A-B,6028a818be48b504bc4f610f,2021-02-14T04:45:25.583Z,2021-02-14T04:45:25.583Z
6028ab02be48b504bc4f611e,C-D,6028a818be48b504bc4f610f,2021-02-14T04:45:54.713Z,2021-02-14T04:45:54.713Z
6028ab08be48b504bc4f611f,E-F,6028a818be48b504bc4f610f,2021-02-14T04:46:00.967Z,2021-02-14T04:46:00.967Z
6028ab13be48b504bc4f6120,G-JN,6028a818be48b504bc4f610f,2021-02-14T04:46:11.587Z,2021-02-14T04:46:11.587Z
6028ab1fbe48b504bc4f6121,JO-L,6028a818be48b504bc4f610f,2021-02-14T04:46:23.627Z,2021-02-14T04:46:23.627Z
6028ab26be48b504bc4f6122,M-O,6028a818be48b504bc4f610f,2021-02-14T04:46:30.583Z,2021-02-14T04:46:30.583Z
6028ab2ebe48b504bc4f6123,P-R,6028a818be48b504bc4f610f,2021-02-14T04:46:38.894Z,2021-02-14T04:46:38.894Z
6028ab35be48b504bc4f6124,S-Z,6028a818be48b504bc4f610f,2021-02-14T04:46:45.145Z,2021-02-14T04:46:45.145Z
6028acc1be48b504bc4f6125,A-D,6028a83cbe48b504bc4f6110,2021-02-14T04:53:21.648Z,2021-02-14T04:53:21.648Z
6028accdbe48b504bc4f6126,E-I,6028a83cbe48b504bc4f6110,2021-02-14T04:53:33.445Z,2021-02-14T04:53:33.445Z
6028acd6be48b504bc4f6127,J-M,6028a83cbe48b504bc4f6110,2021-02-14T04:53:42.483Z,2021-02-14T04:53:42.483Z
6028acdfbe48b504bc4f6128,N-Z,6028a83cbe48b504bc4f6110,2021-02-14T04:53:51.311Z,2021-02-14T04:53:51.311Z
6028acf5be48b504bc4f6129,A-Z,6028a860be48b504bc4f6111,2021-02-14T04:54:13.619Z,2021-02-14T04:54:13.619Z
6028ad1dbe48b504bc4f612a,A-B,6028a877be48b504bc4f6112,2021-02-14T04:54:53.589Z,2021-02-14T04:54:53.589Z
6028ad25be48b504bc4f612b,C-D,6028a877be48b504bc4f6112,2021-02-14T04:55:01.014Z,2021-02-14T04:55:01.014Z
6028ad2dbe48b504bc4f612c,E-I,6028a877be48b504bc4f6112,2021-02-14T04:55:09.384Z,2021-02-14T04:55:09.384Z
6028ad33be48b504bc4f612d,J-L,6028a877be48b504bc4f6112,2021-02-14T04:55:15.372Z,2021-02-14T04:55:15.372Z
6028ad39be48b504bc4f612e,M-P,6028a877be48b504bc4f6112,2021-02-14T04:55:21.848Z,2021-02-14T04:55:21.848Z
6028ad3fbe48b504bc4f612f,Q-Z,6028a877be48b504bc4f6112,2021-02-14T04:55:27.668Z,2021-02-14T04:55:27.668Z
6028ad5dbe48b504bc4f6130,A-C,6028a899be48b504bc4f6113,2021-02-14T04:55:57.310Z,2021-02-14T04:55:57.310Z
6028ad62be48b504bc4f6131,D-F,6028a899be48b504bc4f6113,2021-02-14T04:56:02.490Z,2021-02-14T04:56:02.490Z
6028ad69be48b504bc4f6132,G-K,6028a899be48b504bc4f6113,2021-02-14T04:56:09.728Z,2021-02-14T04:56:09.728Z
6028ad80be48b504bc4f6134,L-P,6028a899be48b504bc4f6113,2021-02-14T04:56:32.709Z,2021-02-14T04:56:32.709Z
6028ad87be48b504bc4f6135,R-Z,6028a899be48b504bc4f6113,2021-02-14T04:56:39.258Z,2021-02-14T04:56:39.258Z
6028ae0bbe48b504bc4f6136,A,6028a8b0be48b504bc4f6114,2021-02-14T04:58:51.442Z,2021-02-14T04:58:51.442Z
6028ae13be48b504bc4f6137,B-C,6028a8b0be48b504bc4f6114,2021-02-14T04:58:59.363Z,2021-02-14T04:58:59.363Z
