_id,gender,name,dob,party,district,comments,createdAt,updatedAt
5fe91d086659f903e4e79fa1,Male,Herod Stanislaus,null,5fcb20aabd66d830e82d61ee,5fcb2af7bd66d830e82d61ef,,2020-12-27T23:47:20.932Z,2021-01-31T23:48:23.053Z
5ffb63e4855b0d3d58f80046,Male,Philip Joseph Pierre,1964-03-13T00:00:00.000Z,5fe903c481e77b3b405c5fb4,60172324d7a5c51dc8e3ef19,,2021-01-10T20:30:28.328Z,2021-01-31T21:41:46.163Z
60171d13d7a5c51dc8e3ef0d,Female,Emma Hippolyte,null,5fe903c481e77b3b405c5fb4,60171762d7a5c51dc8e3eefe,,2021-01-31T21:11:47.821Z,2021-01-31T21:11:47.821Z
60171f32d7a5c51dc8e3ef11,Male,Lenard Spider Montoute,null,5fcb20aabd66d830e82d61ee,60171762d7a5c51dc8e3eefe,,2021-01-31T21:20:50.990Z,2021-01-31T21:20:50.990Z
60172074d7a5c51dc8e3ef13,Male,Ezechiel Joseph,,5fcb20aabd66d830e82d61ee,601717a2d7a5c51dc8e3eeff,,2021-01-31T21:26:12.625Z,2021-01-31T21:26:12.625Z
601721c3d7a5c51dc8e3ef15,Female,Alvina Bertram Reynolds,null,5fe903c481e77b3b405c5fb4,601717a2d7a5c51dc8e3eeff,,2021-01-31T21:31:47.907Z,2021-01-31T21:31:47.907Z
601721e0d7a5c51dc8e3ef16,Male,Stephenson King,,5fcb20aabd66d830e82d61ee,601717b3d7a5c51dc8e3ef00,,2021-01-31T21:32:16.929Z,2021-01-31T21:32:16.929Z
601722add7a5c51dc8e3ef18,Male,Stephen John Charlery,null,5fe903c481e77b3b405c5fb4,601717b3d7a5c51dc8e3ef00,,2021-01-31T21:35:41.117Z,2021-01-31T21:35:41.117Z
60172346d7a5c51dc8e3ef1a,Female,Fortuna Cathlina Belrose,null,5fcb20aabd66d830e82d61ee,60172324d7a5c51dc8e3ef19,,2021-01-31T21:38:14.977Z,2021-01-31T21:38:14.977Z
601724fbd7a5c51dc8e3ef1b,Male,Stanley Felix,null,5fe903c481e77b3b405c5fb4,601717cfd7a5c51dc8e3ef01,,2021-01-31T21:45:31.396Z,2021-01-31T21:45:31.396Z
