_id,name,district,createdAt,updatedAt,code
60289cf9be48b504bc4f60d5,Dugard Community Centre,60171ab6d7a5c51dc8e3ef08,2021-02-14T03:46:01.157Z,2021-02-14T03:46:01.157Z,M1
60289d10be48b504bc4f60d6,Ti Rocher Community Centre,60171ab6d7a5c51dc8e3ef08,2021-02-14T03:46:24.400Z,2021-02-14T03:46:24.400Z,M2 (a)
60289d47be48b504bc4f60d8,La Cour Ville Community Centre,60171ab6d7a5c51dc8e3ef08,2021-02-14T03:47:19.119Z,2021-02-14T03:47:19.119Z,M2 (b)
60289e96be48b504bc4f60d9,Anse Ger Secondary School,60171ab6d7a5c51dc8e3ef08,2021-02-14T03:52:54.675Z,2021-02-14T03:52:54.675Z,M3 (a)
60289eb0be48b504bc4f60da,Desruisseaux Combined School,60171ab6d7a5c51dc8e3ef08,2021-02-14T03:53:20.522Z,2021-02-14T03:53:20.522Z,M3 (b)
60289ed4be48b504bc4f60db,Blanchard Combined School,60171ab6d7a5c51dc8e3ef08,2021-02-14T03:53:56.345Z,2021-02-14T03:53:56.345Z,M3 (c)
60289effbe48b504bc4f60dc,Vigier Combined School,60171aa8d7a5c51dc8e3ef07,2021-02-14T03:54:39.264Z,2021-02-14T03:54:39.264Z,L1
60289f0dbe48b504bc4f60dd,Pierrot Combined School,60171aa8d7a5c51dc8e3ef07,2021-02-14T03:54:53.310Z,2021-02-14T03:54:53.310Z,L2
60289f20be48b504bc4f60de,Belle Vue Combined School,60171aa8d7a5c51dc8e3ef07,2021-02-14T03:55:12.771Z,2021-02-14T03:55:12.771Z,L3
60289f35be48b504bc4f60df,Grace Combined School,60171aa8d7a5c51dc8e3ef07,2021-02-14T03:55:33.509Z,2021-02-14T03:55:33.509Z,L4
6028a03abe48b504bc4f60e0,Vieux Fort Primary School,60171a9cd7a5c51dc8e3ef06,2021-02-14T03:59:54.128Z,2021-02-14T03:59:54.128Z,K1
6028a047be48b504bc4f60e1,Vieux Fort Infant School,60171a9cd7a5c51dc8e3ef06,2021-02-14T04:00:07.713Z,2021-02-14T04:00:07.713Z,K2
6028a05bbe48b504bc4f60e2,Plain View Combined School,60171a9cd7a5c51dc8e3ef06,2021-02-14T04:00:27.242Z,2021-02-14T04:00:27.242Z,K3
6028a07abe48b504bc4f60e3,Vieux Fort Secondary Campus B,60171a9cd7a5c51dc8e3ef06,2021-02-14T04:00:58.678Z,2021-02-14T04:00:58.678Z,K4
6028a0d1be48b504bc4f60e4,Augier Combined School,60171a8cd7a5c51dc8e3ef05,2021-02-14T04:02:25.459Z,2021-02-14T04:02:25.459Z,J1
6028a0dfbe48b504bc4f60e5,Laborie Boys School,60171a8cd7a5c51dc8e3ef05,2021-02-14T04:02:39.708Z,2021-02-14T04:02:39.708Z,J2
