_id,candidate1,candidate1Party,candidate1Votes,candidate2,candidate2Party,candidate2Votes,candidate3,candidate3Party,candidate3Votes,comments,createdAt,district,pollingStation,registeredVoters,rejectedVotes,section,updatedAt,votesCast,year
6029aeb6be48b504bc4f62d4,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,62,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,78,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,5,"",2021-02-14T23:13:58.244Z,60171762d7a5c51dc8e3eefe,6028a818be48b504bc4f610f,262,3,6028ab2ebe48b504bc4f6123,2021-02-14T23:13:58.244Z,148,2016
6029aefdbe48b504bc4f62d5,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,112,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,123,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,2,"",2021-02-14T23:15:09.762Z,60171762d7a5c51dc8e3eefe,6028a818be48b504bc4f610f,464,3,6028ab35be48b504bc4f6124,2021-02-14T23:15:09.762Z,240,2016
603301460e7c9e39bc0aabac,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,159,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,248,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,8,"",2021-02-22T00:56:38.029Z,60171762d7a5c51dc8e3eefe,6028a83cbe48b504bc4f6110,424,2,6028acc1be48b504bc4f6125,2021-02-22T00:56:38.029Z,417,2016
6033024d0e7c9e39bc0aabad,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,50,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,97,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,0,"",2021-02-22T01:01:01.905Z,60171762d7a5c51dc8e3eefe,6028a83cbe48b504bc4f6110,335,0,6028accdbe48b504bc4f6126,2021-02-22T01:01:01.905Z,147,2016
603302f20e7c9e39bc0aabae,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,56,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,113,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T01:03:46.707Z,60171762d7a5c51dc8e3eefe,6028a83cbe48b504bc4f6110,379,2,6028acd6be48b504bc4f6127,2021-02-22T01:03:46.707Z,172,2016
603303c70e7c9e39bc0aabaf,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,60,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,109,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,2,"",2021-02-22T01:07:19.231Z,60171762d7a5c51dc8e3eefe,6028a83cbe48b504bc4f6110,396,1,6028acdfbe48b504bc4f6128,2021-02-22T01:07:19.231Z,172,2016
603317bb0e7c9e39bc0aabb0,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,85,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,136,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,4,"",2021-02-22T02:32:27.848Z,60171762d7a5c51dc8e3eefe,6028a860be48b504bc4f6111,445,2,6028acf5be48b504bc4f6129,2021-02-22T02:32:27.848Z,227,2016
603317ef0e7c9e39bc0aabb1,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,64,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,120,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,2,"",2021-02-22T02:33:19.453Z,60171762d7a5c51dc8e3eefe,6028a877be48b504bc4f6112,312,3,6028ad1dbe48b504bc4f612a,2021-02-22T02:33:19.453Z,189,2016
6033180c0e7c9e39bc0aabb2,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,55,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,120,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,2,"",2021-02-22T02:33:48.730Z,60171762d7a5c51dc8e3eefe,6028a877be48b504bc4f6112,293,3,6028ad25be48b504bc4f612b,2021-02-22T02:33:48.730Z,180,2016
6033183c0e7c9e39bc0aabb3,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,70,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,100,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T02:34:36.113Z,60171762d7a5c51dc8e3eefe,6028a877be48b504bc4f6112,330,0,6028ad2dbe48b504bc4f612c,2021-02-22T02:34:36.113Z,171,2016
6033185f0e7c9e39bc0aabb4,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,55,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,115,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,0,"",2021-02-22T02:35:11.580Z,60171762d7a5c51dc8e3eefe,6028a877be48b504bc4f6112,314,7,6028ad33be48b504bc4f612d,2021-02-22T02:35:11.580Z,177,2016
603318930e7c9e39bc0aabb5,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,62,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,169,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,3,"",2021-02-22T02:36:03.803Z,60171762d7a5c51dc8e3eefe,6028a877be48b504bc4f6112,374,1,6028ad39be48b504bc4f612e,2021-02-22T02:37:16.979Z,235,2016
603318bd0e7c9e39bc0aabb6,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,54,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,108,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T02:36:45.785Z,60171762d7a5c51dc8e3eefe,6028a877be48b504bc4f6112,286,4,6028ad3fbe48b504bc4f612f,2021-02-22T02:36:45.785Z,167,2016
60331a660e7c9e39bc0aabb7,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,105,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,137,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,3,"",2021-02-22T02:43:50.718Z,60171762d7a5c51dc8e3eefe,6028a899be48b504bc4f6113,394,2,6028ad5dbe48b504bc4f6130,2021-02-22T02:43:50.718Z,247,2016
60331a900e7c9e39bc0aabb8,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,112,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,109,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,1,"",2021-02-22T02:44:32.734Z,60171762d7a5c51dc8e3eefe,6028a899be48b504bc4f6113,366,1,6028ad62be48b504bc4f6131,2021-02-22T02:44:32.734Z,223,2016
60331ae60e7c9e39bc0aabb9,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,98,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,116,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,0,"",2021-02-22T02:45:58.827Z,60171762d7a5c51dc8e3eefe,6028a899be48b504bc4f6113,363,2,6028ad69be48b504bc4f6132,2021-02-22T02:45:58.827Z,216,2016
60331b6c0e7c9e39bc0aabba,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,98,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,129,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,3,"",2021-02-22T02:48:12.677Z,60171762d7a5c51dc8e3eefe,6028a899be48b504bc4f6113,398,3,6028ad80be48b504bc4f6134,2021-02-22T02:48:12.677Z,233,2016
60331b8d0e7c9e39bc0aabbb,60171d13d7a5c51dc8e3ef0d,5fe903c481e77b3b405c5fb4,48,60171f32d7a5c51dc8e3ef11,5fcb20aabd66d830e82d61ee,87,6028f52dbe48b504bc4f62c5,60171d61d7a5c51dc8e3ef0e,4,"",2021-02-22T02:48:45.438Z,60171762d7a5c51dc8e3eefe,6028a899be48b504bc4f6113,232,4,6028ad87be48b504bc4f6135,2021-02-22T02:48:45.438Z,141,2016
