_id,code,createdAt,district,name,updatedAt
60289cf9be48b504bc4f60d5,M1,2021-02-14T03:46:01.157Z,60171ab6d7a5c51dc8e3ef08,Dugard Community Centre,2021-02-14T03:46:01.157Z
60289d10be48b504bc4f60d6,M2 (a),2021-02-14T03:46:24.400Z,60171ab6d7a5c51dc8e3ef08,Ti Rocher Community Centre,2021-02-14T03:46:24.400Z
60289d47be48b504bc4f60d8,M2 (b),2021-02-14T03:47:19.119Z,60171ab6d7a5c51dc8e3ef08,La Cour Ville Community Centre,2021-02-14T03:47:19.119Z
60289e96be48b504bc4f60d9,M3 (a),2021-02-14T03:52:54.675Z,60171ab6d7a5c51dc8e3ef08,Anse Ger Secondary School,2021-02-14T03:52:54.675Z
60289eb0be48b504bc4f60da,M3 (b),2021-02-14T03:53:20.522Z,60171ab6d7a5c51dc8e3ef08,Desruisseaux Combined School,2021-02-14T03:53:20.522Z
60289ed4be48b504bc4f60db,M3 (c),2021-02-14T03:53:56.345Z,60171ab6d7a5c51dc8e3ef08,Blanchard Combined School,2021-02-14T03:53:56.345Z
60289effbe48b504bc4f60dc,L1,2021-02-14T03:54:39.264Z,60171aa8d7a5c51dc8e3ef07,Vigier Combined School,2021-02-14T03:54:39.264Z
60289f0dbe48b504bc4f60dd,L2,2021-02-14T03:54:53.310Z,60171aa8d7a5c51dc8e3ef07,Pierrot Combined School,2021-02-14T03:54:53.310Z
60289f20be48b504bc4f60de,L3,2021-02-14T03:55:12.771Z,60171aa8d7a5c51dc8e3ef07,Belle Vue Combined School,2021-02-14T03:55:12.771Z
60289f35be48b504bc4f60df,L4,2021-02-14T03:55:33.509Z,60171aa8d7a5c51dc8e3ef07,Grace Combined School,2021-02-14T03:55:33.509Z
6028a03abe48b504bc4f60e0,K1,2021-02-14T03:59:54.128Z,60171a9cd7a5c51dc8e3ef06,Vieux Fort Primary School,2021-02-14T03:59:54.128Z
6028a047be48b504bc4f60e1,K2,2021-02-14T04:00:07.713Z,60171a9cd7a5c51dc8e3ef06,Vieux Fort Infant School,2021-02-14T04:00:07.713Z
6028a05bbe48b504bc4f60e2,K3,2021-02-14T04:00:27.242Z,60171a9cd7a5c51dc8e3ef06,Plain View Combined School,2021-02-14T04:00:27.242Z
6028a07abe48b504bc4f60e3,K4,2021-02-14T04:00:58.678Z,60171a9cd7a5c51dc8e3ef06,Vieux Fort Secondary Campus B,2021-02-14T04:00:58.678Z
6028a0d1be48b504bc4f60e4,J1,2021-02-14T04:02:25.459Z,60171a8cd7a5c51dc8e3ef05,Augier Combined School,2021-02-14T04:02:25.459Z
6028a0dfbe48b504bc4f60e5,J2,2021-02-14T04:02:39.708Z,60171a8cd7a5c51dc8e3ef05,Laborie Boys School,2021-02-14T04:02:39.708Z
6028a0f1be48b504bc4f60e6,J3,2021-02-14T04:02:57.760Z,60171a8cd7a5c51dc8e3ef05,Laborie Girls Primary School,2021-02-14T04:02:57.760Z
6028a10abe48b504bc4f60e7,J4,2021-02-14T04:03:22.265Z,60171a8cd7a5c51dc8e3ef05,La Grace Combined School,2021-02-14T04:03:22.265Z
6028a123be48b504bc4f60e8,J4,2021-02-14T04:03:47.849Z,60171a8cd7a5c51dc8e3ef05,Teaser's Dance Hall (Banse),2021-02-14T04:03:47.849Z
6028a15ebe48b504bc4f60e9,G1,2021-02-14T04:04:46.080Z,60171a47d7a5c51dc8e3ef04,Roseau Combined School,2021-02-14T04:04:46.080Z
6028a173be48b504bc4f60ea,G2 (a),2021-02-14T04:05:07.546Z,60171a47d7a5c51dc8e3ef04,Millet Primary School,2021-02-14T04:05:07.546Z
6028a1a0be48b504bc4f60eb,G2 (b),2021-02-14T04:05:52.773Z,60171a47d7a5c51dc8e3ef04,"Christian Faith Assembly, Vanard",2021-02-14T04:05:52.773Z
6028a1c9be48b504bc4f60ec,G4,2021-02-14T04:06:33.575Z,60171a47d7a5c51dc8e3ef04,Canaries Primary School,2021-02-14T04:06:33.575Z
6028a1e8be48b504bc4f60ed,G3,2021-02-14T04:07:04.426Z,60171a47d7a5c51dc8e3ef04,Anse La Raye Primary School,2021-02-14T04:07:04.426Z
6028a21dbe48b504bc4f60ee,F1,2021-02-14T04:07:57.615Z,60171a2dd7a5c51dc8e3ef03,SLASPA Ferry Terminal,2021-02-14T04:07:57.615Z
6028a22bbe48b504bc4f60ef,F2,2021-02-14T04:08:11.728Z,60171a2dd7a5c51dc8e3ef03,Ciceron Combined School,2021-02-14T04:08:11.728Z
6028a259be48b504bc4f60f0,F3,2021-02-14T04:08:57.741Z,60171a2dd7a5c51dc8e3ef03,La Croix Maingot (Hess School),2021-02-14T04:08:57.741Z
6028a2c0be48b504bc4f60f1,E1,2021-02-14T04:10:40.577Z,601717cfd7a5c51dc8e3ef01,Carmen Rene Memorial School,2021-02-14T04:10:40.577Z
6028a2d0be48b504bc4f60f2,E2,2021-02-14T04:10:56.002Z,601717cfd7a5c51dc8e3ef01,Anglican Infant School,2021-02-14T04:10:56.002Z
6028a2e1be48b504bc4f60f3,E3,2021-02-14T04:11:13.157Z,601717cfd7a5c51dc8e3ef01,R.C. Boys Primary Shool,2021-02-14T04:11:13.157Z
6028a2f7be48b504bc4f60f4,E4,2021-02-14T04:11:35.034Z,601717cfd7a5c51dc8e3ef01,R.C. Boys Infant Shool,2021-02-14T04:11:35.034Z
6028a327be48b504bc4f60f5,E5 (a),2021-02-14T04:12:23.487Z,601717cfd7a5c51dc8e3ef01,Ave Maria Primary Shool,2021-02-14T04:12:23.487Z
6028a33dbe48b504bc4f60f6,E5 (b),2021-02-14T04:12:45.808Z,601717cfd7a5c51dc8e3ef01,Ave Maria Infant Shool,2021-02-14T04:12:45.808Z
6028a352be48b504bc4f60f7,E6,2021-02-14T04:13:06.194Z,601717cfd7a5c51dc8e3ef01,Methodist Parish Hall,2021-02-14T04:13:06.194Z
6028a381be48b504bc4f60f8,D1,2021-02-14T04:13:53.594Z,60172324d7a5c51dc8e3ef19,Bocage Government School,2021-02-14T04:13:53.594Z
6028a398be48b504bc4f60f9,D2,2021-02-14T04:14:16.710Z,60172324d7a5c51dc8e3ef19,Entrepot Secondary School,2021-02-14T04:14:16.710Z
6028a3acbe48b504bc4f60fa,D3,2021-02-14T04:14:36.986Z,60172324d7a5c51dc8e3ef19,Marchand Parish Centre,2021-02-14T04:14:36.986Z
6028a3c1be48b504bc4f60fb,D4,2021-02-14T04:14:57.471Z,60172324d7a5c51dc8e3ef19,Marchand Combined School,2021-02-14T04:14:57.471Z
6028a3e1be48b504bc4f60fc,D5 (a),2021-02-14T04:15:29.335Z,60172324d7a5c51dc8e3ef19,Mindoo Phillip Park,2021-02-14T04:15:29.335Z
6028a3f5be48b504bc4f60fd,D5 (b),2021-02-14T04:15:49.200Z,60172324d7a5c51dc8e3ef19,Cadet Pavillion,2021-02-14T04:15:49.200Z
6028a406be48b504bc4f60fe,D6,2021-02-14T04:16:06.039Z,60172324d7a5c51dc8e3ef19,Police Auditorium,2021-02-14T04:16:06.039Z
6028a52bbe48b504bc4f60ff,C1,2021-02-14T04:20:59.690Z,601717b3d7a5c51dc8e3ef00,Castries Comprehensive School,2021-02-14T04:20:59.690Z
6028a54bbe48b504bc4f6100,C2,2021-02-14T04:21:31.544Z,601717b3d7a5c51dc8e3ef00,Vide Bouteille Secondary School,2021-02-14T04:21:31.544Z
6028a565be48b504bc4f6101,C3,2021-02-14T04:21:57.204Z,601717b3d7a5c51dc8e3ef00,Anglican Primary School,2021-02-14T04:21:57.204Z
6028a57ebe48b504bc4f6102,C4,2021-02-14T04:22:22.296Z,601717b3d7a5c51dc8e3ef00,Morne Du Don Combined School,2021-02-14T04:22:22.296Z
6028a5a2be48b504bc4f6103,C5,2021-02-14T04:22:58.312Z,601717b3d7a5c51dc8e3ef00,St. Joseph's Convent Pre-School,2021-02-14T04:22:58.312Z
6028a60cbe48b504bc4f6104,B1 (a),2021-02-14T04:24:44.226Z,601717a2d7a5c51dc8e3eeff,Balata Combined School,2021-02-14T04:24:44.226Z
6028a622be48b504bc4f6105,B1 (b),2021-02-14T04:25:06.946Z,601717a2d7a5c51dc8e3eeff,Babonneau Primary School,2021-02-14T04:25:06.946Z
6028a665be48b504bc4f6106,B2 (a),2021-02-14T04:26:13.385Z,601717a2d7a5c51dc8e3eeff,La Guerre Combined School,2021-02-14T04:26:13.385Z
6028a678be48b504bc4f6107,B2 (b),2021-02-14T04:26:32.242Z,601717a2d7a5c51dc8e3eeff,La Guerre Community Centre,2021-02-14T04:26:32.242Z
6028a699be48b504bc4f6108,B3,2021-02-14T04:27:05.179Z,601717a2d7a5c51dc8e3eeff,Boguis Combined School,2021-02-14T04:27:05.179Z
6028a6aabe48b504bc4f6109,B4,2021-02-14T04:27:22.805Z,601717a2d7a5c51dc8e3eeff,Des Barra Combined School,2021-02-14T04:27:22.805Z
6028a6c3be48b504bc4f610a,B5 (a),2021-02-14T04:27:47.262Z,601717a2d7a5c51dc8e3eeff,Fond Assau Combined School,2021-02-14T04:27:47.262Z
6028a6f9be48b504bc4f610b,B5 (b),2021-02-14T04:28:41.529Z,601717a2d7a5c51dc8e3eeff,Garrand Mothers & Fathers Hall,2021-02-14T04:28:41.529Z
6028a71abe48b504bc4f610c,B6 (a),2021-02-14T04:29:14.787Z,601717a2d7a5c51dc8e3eeff,Babonneau Secondary School,2021-02-14T04:29:14.787Z
6028a731be48b504bc4f610d,B6 (b),2021-02-14T04:29:37.536Z,601717a2d7a5c51dc8e3eeff,Babonneau Multi-Purpose Centre,2021-02-14T04:29:37.536Z
6028a808be48b504bc4f610e,A1 (a),2021-02-14T04:33:12.507Z,60171762d7a5c51dc8e3eefe,Gros-Islet Primary School,2021-02-14T04:33:12.507Z
6028a818be48b504bc4f610f,A1 (b),2021-02-14T04:33:28.826Z,60171762d7a5c51dc8e3eefe,Gros-Islet Secondary School,2021-02-14T04:33:28.826Z
6028a83cbe48b504bc4f6110,A1 (c),2021-02-14T04:34:04.309Z,60171762d7a5c51dc8e3eefe,Johnsons' Centre Rodney Bay,2021-02-14T04:34:04.309Z
6028a860be48b504bc4f6111,A1 (d),2021-02-14T04:34:40.824Z,60171762d7a5c51dc8e3eefe,Johnsons' Centre Rodney Bay,2021-02-14T04:34:40.824Z
6028a877be48b504bc4f6112,A2 (a),2021-02-14T04:35:03.736Z,60171762d7a5c51dc8e3eefe,Monchy Combined School,2021-02-14T04:35:03.736Z
6028a899be48b504bc4f6113,A2 (b),2021-02-14T04:35:37.100Z,60171762d7a5c51dc8e3eefe,Darren Sammy Stadium (Beausejour),2021-02-14T04:35:37.100Z
6028a8b0be48b504bc4f6114,A3,2021-02-14T04:36:00.334Z,60171762d7a5c51dc8e3eefe,Grande Riviere Primary School,2021-02-14T04:36:00.334Z
6028a8e5be48b504bc4f6115,A4,2021-02-14T04:36:53.784Z,60171762d7a5c51dc8e3eefe,Corinth Secondary School,2021-02-14T04:36:53.784Z
